                     Date,               MAC,    temp,      Vout, PGOOD, MARG_UP, MARG_DN,  Load,       I_A,       V_A,       I_B,       V_B, Total Power
 Thu Apr 24 06:13:52 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.903 V,  16.931 W
 Thu Apr 24 06:14:02 2014, 00:1e:c0:81:3a:fa,  30.1 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.903 V,  16.961 W
 Thu Apr 24 06:14:12 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.880 V,   0.640 A,  11.903 V,  17.032 W
 Thu Apr 24 06:14:22 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.903 V,  16.961 W
 Thu Apr 24 06:14:32 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.640 A,  11.880 V,  16.899 W
 Thu Apr 24 06:14:42 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.642 A,  11.903 V,  16.943 W
 Thu Apr 24 06:14:52 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.642 A,  11.880 V,  16.928 W
 Thu Apr 24 06:15:02 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.903 V,   0.640 A,  11.880 V,  16.887 W
 Thu Apr 24 06:15:12 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.880 V,   0.637 A,  11.880 V,  16.780 W
 Thu Apr 24 06:15:22 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.780 A,  11.880 V,   0.640 A,  11.903 V,  16.884 W
 Thu Apr 24 06:15:32 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.903 V,  16.961 W
 Thu Apr 24 06:15:42 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.903 V,   0.640 A,  11.880 V,  16.857 W
 Thu Apr 24 06:15:52 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.903 V,   0.640 A,  11.903 V,  16.812 W
 Thu Apr 24 06:16:02 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.880 V,   0.637 A,  11.903 V,  16.884 W
 Thu Apr 24 06:16:12 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.880 V,   0.642 A,  11.903 V,  17.003 W
 Thu Apr 24 06:16:22 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.903 V,   0.640 A,  11.880 V,  17.006 W
 Thu Apr 24 06:16:32 2014, 00:1e:c0:81:3a:fa,  30.0 C,   0.964 V,     1,       0,       1,     1  0.777 A,  11.880 V,   0.640 A,  11.903 V,  16.854 W
 Thu Apr 24 06:16:42 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.642 A,  11.903 V,  16.961 W
 Thu Apr 24 06:16:52 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.785 A,  11.903 V,   0.640 A,  11.903 V,  16.961 W
 Thu Apr 24 06:17:02 2014, 00:1e:c0:81:3a:fa,  29.9 C,   0.964 V,     1,       0,       1,     1  0.787 A,  11.903 V,   0.642 A,  11.880 V,  17.006 W
 Thu Apr 24 06:17:12 2014, 00:1e:c0:81:3a:fa,  29.8 C,   0.964 V,     1,       0,       1,     1  0.790 A,  11.880 V,   0.642 A,  11.880 V,  17.018 W
 Thu Apr 24 06:17:22 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.782 A,  11.903 V,   0.640 A,  11.903 V,  16.931 W
 Thu Apr 24 06:17:32 2014, 00:1e:c0:81:3a:fa,  29.6 C,   0.964 V,     1,       0,       1,     1  0.792 A,  11.903 V,   0.640 A,  11.903 V,  17.051 W
 Thu Apr 24 06:17:42 2014, 00:1e:c0:81:3a:fa,  29.6 C,   0.964 V,     1,       0,       1,     1  0.772 A,  11.880 V,   0.640 A,  11.903 V,  16.795 W
 Thu Apr 24 06:17:52 2014, 00:1e:c0:81:3a:fa,  29.7 C,   0.964 V,     1,       0,       1,     1  0.775 A,  11.880 V,   0.642 A,  11.903 V,  16.854 W
